phonetic_transcription;wav_path;speaker;style
#p ee ss tt 'eh rr ii 'uu kk ac ii gg 'uu sh ic #p;/l/disk1/awstebas/data/TTS/speaker-adriana/nomes/wav22/nomes0526.wav;adriana;neutro
#p 'uu uw ts ic mm uc pp rd 'aa zz uc pp 'aa rr ac nn ee gg oo ss ii 'aa rf ss 'ee uw dd 'eh bb ic tt uc kk on ac uu nn ii dd 'eh rf pp ic #p;/l/disk1/awstebas/data/TTS/speaker-adriana/pg_generico/wav22/pg_generico0199.wav;adriana;neutro
#p 'oh lh ac 'ee uw 'uu zz uc mm 'aa ij zz aa 'in dd ac #p;/l/disk1/awstebas/data/TTS/speaker-adriana/callcenter/wav22/callcenter0390.wav;adriana;neutro
#p ac ss en tt rd 'aa uw dz ic aa tt en dz ii mm 'en tt uc mm 'ee uw kk aa rf tt 'an wn aa gg rd aa dd 'eh ss ic ss 'ee uw kk on tt 'aa tt uc #p;/l/disk1/awstebas/data/TTS/speaker-adriana/pg_meucartao/wav22/pg_meucartao0057.wav;adriana;neutro
#p aa pp ll 'ii kk ac ic rx ee zz gg 'aa tt ac ff 'un dd uc ss #c ss 'ee dd 'ee bb 'ee #c ic pp oo uw pp 'an ss ac #p;/l/disk1/awstebas/data/TTS/speaker-adriana/bradesco/wav22/bradesco0012.wav;adriana;neutro
#p ss 'ee 'ee 'eh rx ic 'ee mm ic #c zh 'ee ss 'ee dd 'ee 'eh ss ic #p;/l/disk1/awstebas/data/TTS/speaker-adriana/siglas/wav22/siglas0287.wav;adriana;neutro
#p ac mm 'eh tt ac dd uc kk ll 'uu bb ic nn uc tt rd ii mm 'eh ss tt rd ic #p;/l/disk1/awstebas/data/TTS/speaker-adriana/riqueza_fonetica/wav22/riqueza_fonetica2093.wav;adriana;neutro
#p zh ee rr 'uu zz ac gg aa dd 'ee lh ac ss ee rr aa ff 'in #p;/l/disk1/awstebas/data/TTS/speaker-adriana/nomes/wav22/nomes0475.wav;adriana;neutro
#p kk 'oo mm uc vv oo ss 'ee 'eh un kk ll ii 'en ts ic dz ii zh ii tt 'aa uw #c rx ee ss 'eh bb ic ss 'uu ac ff aa tt 'uu rr ac tt 'oo dd uc mm 'ee ss pp oo rr ee mm 'ee ij oo uw #p;/l/disk1/awstebas/data/TTS/speaker-adriana/ibm_tim/wav22/ibm_tim0152.wav;adriana;neutro
#p mm 'un in tt uc bb 'on #p;/l/disk1/awstebas/data/TTS/speaker-adriana/neutro/wav22/neutro0013.wav;adriana;neutro
#p uc rx ee zh 'ii mm ic dz 'ii ss pp 'aa rr ac nn 'an wn kk oo mm 'ee rf kk 'aa rf nn ic dd ee pp 'oo ij ss #p;/l/disk1/awstebas/data/TTS/speaker-adriana/riqueza_fonetica/wav22/riqueza_fonetica1919.wav;adriana;neutro
#p oo bb rd ii gg 'aa dd ac pp oo rf tt 'ee rr aa gg uw aa rf dd 'aa dd uc #p;/l/disk1/awstebas/data/TTS/speaker-adriana/callcenter/wav22/callcenter0058.wav;adriana;neutro
#p ac ee mm ii ss 'oo rr ac rx ee aa ll 'ii zz ac ss oo rf tt 'ee ij uw zz dd 'uu ac zz vv 'ee zz ic ss pp oo rf dz 'ii ac #c dd 'ee zz dz ic uc ii nn 'ii ss ic uw #p;/l/disk1/awstebas/data/TTS/speaker-adriana/riqueza_fonetica/wav22/riqueza_fonetica0615.wav;adriana;neutro
#p 'eh mm 'un in tt uc gg rd 'an dz ic #c ac tt oo rf ss 'ii dd ac rx ee ss 'en ts ic dz ic ss 'aa uw tt uc tt rd 'ii pp ll uc #p;/l/disk1/awstebas/data/TTS/speaker-adriana/riqueza_fonetica/wav22/riqueza_fonetica2302.wav;adriana;neutro
#p pp 'aa rr ac aa bb rd 'ii rr ac ss ee gg 'un dd ac vv 'ii ac vv oo ss 'ee pp rd ee ss ii zz aa rr 'aa dz ii zh ii tt 'aa rr uc ss kk uw 'aa tt rd uc pp rd ii mm 'ee ij rr uc zz nn 'uu mm ee rr uc zz dd uc ss 'ee uw ss 'ee pp 'ee 'eh ff ic #p;/l/disk1/awstebas/data/TTS/speaker-adriana/ibm_tim/wav22/ibm_tim0218.wav;adriana;neutro
#p uc pp rd oo bb ll 'ee mm ac 'eh kk ic uc ll 'ii dd ee rf #c kk 'oo mm uc ss 'en pp rd ic #c kk on vv ii dd 'oo uw ac mm 'aa rf tt ac ss uu pp ll ii ss 'ii #p;/l/disk1/awstebas/data/TTS/speaker-adriana/riqueza_fonetica/wav22/riqueza_fonetica0734.wav;adriana;neutro
#p en tt 'an wn en vv ii aa rr 'ee mm uc zz uc bb oo ll 'ee tt uc pp 'aa rr ac uc ss 'ee uw ee mm 'ee ij oo uw #p;/l/disk1/awstebas/data/TTS/speaker-adriana/atendimento/wav22/atendimento0158.wav;adriana;neutro
#p aa uw mm 'en tt uc dd ac gg aa zz oo ll 'ii nn ac ic dd uc dz 'ii zz ee uw aa ss 'uu ss tt ac nn uc ss ee gg 'un dd uc ss ee mm 'eh ss tt rd ic #p;/l/disk1/awstebas/data/TTS/speaker-adriana/riqueza_fonetica/wav22/riqueza_fonetica1090.wav;adriana;neutro
#p en ee ss pp ee ss ii 'aa uw ac pp eh tt rd oo bb rd 'aa ss #p;/l/disk1/awstebas/data/TTS/speaker-adriana/riqueza_fonetica/wav22/riqueza_fonetica1936.wav;adriana;neutro
#p uc pp aa gg aa mm 'en tt uc en ee ss pp 'eh ss ic ij ss ee rr 'aa dz ic aa uw tt oo mm 'oh vv ee uw 'oo uw ii mm 'oh vv ee uw #q;/l/disk1/awstebas/data/TTS/speaker-adriana/interrogativas/wav22/interrogativas0491.wav;adriana;neutro
#p 'aa oh kk 'ee ij #e vv oo ss 'ee pp 'oh dz ic ff aa zz 'ee rr un ff aa vv 'oo rf pp rd ac mm 'in #q;/l/disk1/awstebas/data/TTS/speaker-adriana/pg_localcred/wav22/pg_localcred0041.wav;adriana;neutro
#p uc kk ll 'ii mm ac dd uc 'aa rf ts ic kk uc 'eh bb 'on pp 'aa rr ac uc ee vv 'en tt uc #p;/l/disk1/awstebas/data/TTS/speaker-adriana/riqueza_fonetica/wav22/riqueza_fonetica1084.wav;adriana;neutro
#p mm an tt ee rr 'ee mm uc ss kk on tt 'aa tt uc pp 'aa rr ac rx ee gg uu ll aa rr ii zz 'aa rf mm uc zz 'eh ss tt ac ss ii tt uu aa ss 'an wn #p;/l/disk1/awstebas/data/TTS/speaker-adriana/atendimento/wav22/atendimento0169.wav;adriana;neutro
#p uc nn 'oo vv uc kk uw 'aa dd rd uc dd uc bb rd ii tt 'an nn ic kk uc pp 'aa rr ac nn 'oh ss #p;/l/disk1/awstebas/data/TTS/speaker-adriana/riqueza_fonetica/wav22/riqueza_fonetica2066.wav;adriana;neutro
