phonetic_transcription;wav_path;speaker
#p ii mm aa zh 'ii nn ac dz ic nn 'aa dd ac #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0680.wav;adriana
#p 'eh kk ll 'aa rr uc kk ic uc zz mm 'eh dz ic kk uc zz nn 'an wn tt 'en in tt en ss 'an wn dz ic mm uu dd 'aa rf mm 'in nh ac vv 'ii dd ac #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0678.wav;adriana
#p mm aa rf ss 'eh ll uc aa uw gg 'uu ss tt uc dz ic mm aa gg aa lh 'an jn ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0514.wav;adriana
#p nn 'an wn gg aa ss tt aa rr 'ii ac tt 'an tt uc tt 'en pp uc en 'uu mm ac pp 'eh ss ac dz ic rx 'oo uw pp ac ss ic aa sh 'aa ss ic kk ic nn 'an wn pp rd ee ss 'ii zz uc dz 'ii ss uc pp 'aa rr ac ff ii kk 'aa rr aa tt rd aa 'en ts ic #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_gen/wav22/eps_neutro_gen0047.wav;adriana
#p nn 'an wn tt 'en nn 'aa dd ac ac vv 'ee rf kk on uc kk 'aa zz uc 'en tt rd ic uc zz dd ee mm 'aa ij ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0590.wav;adriana
#p nn 'un kk ac oo uw vv 'ii uc sh 'oo rr uc dd uc bb ee bb 'ee dd ac vv ii zz 'in nh ac #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0786.wav;adriana
#p ee ss tt 'aa oo kk uu pp 'aa dd uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0627.wav;adriana
#p uc zz uu zz uu 'aa rr ic uw zz dz ic 'oo nn ic bb uc zz nn 'an wn pp 'oh dd en ss 'ee rf ss uu rf pp rd ee en dz 'ii dd uc ss kk on 'ee ss ic ts 'ii pp uc dz ic pp aa rr aa ll ii zz aa ss 'an wn #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_gen/wav22/eps_neutro_gen0063.wav;adriana
#p 'eh in pp oo ss 'ii vv ee uw nn 'an wn gg oo ss tt 'aa rf dz ic 'uu mm ac pp ee ss 'oo ac kk 'oo mm uc 'eh ll ac #s tt 'an wn dd 'oo ss ic ic ee dd uu kk 'aa dd ac #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_ani/wav22/eps_neutro_ani0018.wav;adriana
#p vv 'an mm uc zz vv ee rr ii ff ii kk 'aa rr uc kk ic pp 'oh dz ic ee ss tt 'aa rr aa kk on tt ee ss 'en dd uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0709.wav;adriana
#p ac aa zh 'en ss ij ac dz ic nn oo ts 'ii ss ij ac zz dd ac uu nn ii 'an wn ee uw rr oo pp 'eh ij ac #c kk on ac pp ee ss kk 'ii zz ac aa tt uu 'aa uw #c sh ee gg 'oo uw ac ss 'ee rf ss ee nn 'aa rr ic uw dd uc pp rd oo gg rd 'an mm ac #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0220.wav;adriana
#p nn 'an wn ee ss kk 'ee ss ac kk ic vv oo ss 'ee pp 'oh dz ic en kk on tt rd 'aa rr ac zz in ss tt rd uu ss 'on jn ss pp 'aa rr ac aa ss ii oo nn 'aa rr uc ss ee gg 'uu rr uc nn uc ff ee ij ss ii bb 'uu kk ic #c in ss tt aa gg rd 'an #c tt uw 'ii tt ee rf #c ii uw tt 'uu bb ic #c ic kk ll 'aa rr uc #c nn uc ss 'aa ij ts ic dd ac ss ee gg uu rr aa dd 'oo rr ac #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_aco/wav22/eps_neutro_aco0104.wav;adriana
#p ic pp oo rf ff aa ll 'aa rr en ff 'oh tt uc ss #c nn 'aa dd ac #c nn 'aa dd ac mm 'ee zz mm uc #c pp 'oh dz ic tt rd aa dd uu zz 'ii rr ac ss en ss aa ss 'an wn dz ic pp rd ee zz en ss ii 'aa rr 'aa uw vv 'ii vv uc aa kk 'eh ll ac mm aa rr aa vv 'ii lh ac #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_gen/wav22/eps_neutro_gen0101.wav;adriana
#p ss oh mm 'en ts ic pp 'aa rr ac kk oo mm en tt 'aa rr uc pp rd ee zh uu 'ii zz uc dz ic zh 'un nh uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0214.wav;adriana
#p aa kk rd ee dz 'ii tt uc kk ic ss 'ee zh ac un pp rd oo bb ll 'ee mm ac mm oo mm en tt 'an nn ee uw #s pp oo rf ff aa vv 'oo rf #c tt 'en ts ic nn oh vv aa mm 'en ts ic mm 'aa ij ss tt 'aa rf dz ic #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_aco/wav22/eps_neutro_aco0039.wav;adriana
#p 'ee ll ic rx ee kk on nh ee ss 'ee uw ac ss 'en nh ac nn oo rf mm 'aa uw #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0684.wav;adriana
#p rx 'ee dz ic dz ic tt rd an zz mm ii ss 'an wn pp 'ee ll uc kk aa nn 'aa uw dz ic tt 'ee vv 'ee #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0222.wav;adriana
#p tt 'en nh ac 'uu mm ac bb 'oo ac nn 'oo ij ts ic #e;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_gen/wav22/eps_neutro_gen0090.wav;adriana
#p kk 'oo mm uc 'ee uw ff aa ll 'ee ij #c vv oo ss 'ee nn 'an wn ff 'ii kk ac ff ii dd ee ll ii zz 'aa dd uc ic pp 'oh dz ic dd ee ij sh 'aa rf dz ic ss 'ee rf kk ll ii 'en ts ic ac kk uw aa uw kk 'eh rf mm oo mm 'en tt uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_aco/wav22/eps_neutro_aco0032.wav;adriana
#p pp 'aa rr ac zh 'en ts ic kk oo mm ee ss 'aa rf #c pp 'oh dz ic pp ee dz 'ii rr uc ss 'ee uw #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0601.wav;adriana
#p tt 'en nh uc pp aa rf ss 'ee ij rr uc ss kk on ac zz mm 'ee zz mm ac ss kk aa rr aa kk tt ee rr 'ii ss ts ic kk ac zz dz ic mm 'ee uw zz aa dz vv ee rf ss 'aa rr ic uw ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_gen/wav22/eps_neutro_gen0074.wav;adriana
#p uc ss ee nn 'aa rr ic uw nn 'an wn pp oo dd ee rr 'ii ac ss 'ee rf mm 'aa ij zz dz ii ff ee rr 'en ts ic #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_gen/wav22/eps_neutro_gen0004.wav;adriana
#p ee ss tt 'oo uw ll ii gg 'an dd uc pp oo rf kk 'ee nn uc nn 'oh ss uc ss ii ss tt 'ee mm ac ee ss tt 'aa aa pp aa rr ee ss 'en dd uc kk ic tt 'en 'uu mm ac ff aa tt 'uu rr ac kk ic aa 'in dd ac ee ss tt 'aa en aa bb 'eh rf tt uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0626.wav;adriana
#p nn 'an wn 'aa pp aa ss aa rr 'in nh uc zz mm 'aa ij zz bb oo nn 'ii tt uc ss kk ic uc zz dd 'eh ss ac ff ll oo rr 'eh ss tt ac #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_ani/wav22/eps_neutro_ani0147.wav;adriana
#p uc aa ss ii nn 'an ts ic pp 'oh dz ic gg rd aa vv 'aa rr ac rx ee ss pp 'oh ss tt ac #c kk ic 'eh en vv ii 'aa dd ac on ll 'aa ij nn ic #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0359.wav;adriana
