phonetic_transcription;wav_path;speaker
#p pp 'ee gg uc uc zz mm 'ee uw ss kk aa sh 'oo rx uc zz ic vv 'oo uw bb rd in kk 'aa rf kk on 'ee ll ic ss #c pp aa ss ee 'aa rf #c 'eh 'uu mm ac tt ee rr aa pp 'ii ac pp rd ac mm 'in #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_acorf/wav22/eps_rispido_acorf0107.wav;adriana
#p dz 'ii gg ac pp 'aa rr ac vv aa uw kk 'ii rr ij ac kk ic vv 'aa ij tt 'ee rf tt rd aa dd uu tt 'oo rf dz ic ll 'ii bb rd ac zz ic kk ic 'eh ll ac kk on ss ee gg ii rr 'aa aa kk on pp an nh 'aa rf tt 'oo dd ac ac kk on ff ee rr 'en ss ij ac #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_acorf/wav22/eps_rispido_acorf0243.wav;adriana
#p tt 'oo dd uc mm 'un dd uc pp 'en ss ac kk ic ss 'ee rf vv ee zh ee tt aa rr ii 'an nn uc 'eh 'uu mm ac dd ee zz vv an tt 'aa zh en pp 'aa rr ac aa kk 'ee ll ic ss kk ic dd ee zz 'ee zh an wn mm 'uu ss kk uc ll uc ss #c kk 'oh rf pp uc zz dd ee ff ii nn 'ii dd uc zz ic uc zz aa tt ll 'eh tt ac zz mm 'ee zz mm uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_acorf/wav22/eps_rispido_acorf0128.wav;adriana
#p en tt 'oo rf nn uc dd uc tt ee rf ss 'ee ij rr uc ll uu gg 'aa rf #c ic 'eh ll ac nn 'an wn en tt rd ee gg 'oo uw ac dz ii ss pp 'uu tt ac #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_aco/wav22/eps_rispido_aco0249.wav;adriana
#p nn 'an wn #c kk uw 'an dd uc ac kk 'oh tt ac dz ic kk on ss 'oh rf ss ic uw 'eh kk an ss ee ll 'aa dd ac #c 'aa dd ee ss kk 'on tt uc dz ic zh 'uu rr uc zz ee kk ii vv aa ll 'en ts ic ac dd 'eh ss pp oo rf ss 'en tt uc dd uc kk rd 'eh dz ic tt uc #c ic 'uu mm ac mm 'uu uw tt ac dz ic tt rd 'ee ss pp oo rf ss 'en tt uc pp oo rf kk 'eh bb rd ac dz ic kk on tt rd 'aa tt uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_gen/wav22/eps_rispido_gen0105.wav;adriana
#p ss ic vv oo ss 'ee ff 'aa ss pp 'aa rf ts ic dd uc ts 'ii mm ic dd ac zz rx ee bb 'eh uw dz ic ss kk ic kk 'eh rr en vv ii rr 'aa rr uc mm 'un dd uc dz ic pp 'on tt ac kk aa bb 'ee ss ac pp oo rf kk 'aa uw zz ac dd ac tt 'aa uw dz ii tt aa dd 'uu rr ac dd ac bb ee ll 'ee zz ac #c ss eh rf tt aa mm 'en ts ic vv 'aa ij ss ic dz ii vv ee rf ts 'ii rf kk on aa uw gg 'uu mm ac zz ee ss ee ss 'on jn ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_acorf/wav22/eps_rispido_acorf0099.wav;adriana
#p kk ll 'aa rr uc kk ic nn 'an wn kk 'eh rr uc kk ic ss ic rx ee pp 'ii tt ac #c pp oo rr 'ii ss uc 'eh kk ic ee ss tt 'oo uw 'in dd uc en bb 'oh rr ac pp 'aa rr ac ss 'en pp rd ic #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_ris/wav22/eps_rispido_ris0067.wav;adriana
#p ac tt rd an ss ff ee rr 'en ss ij ac pp ee rf mm aa nn 'eh ss ic kk 'oo mm uc ee ss tt 'aa #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_aco/wav22/eps_rispido_aco0329.wav;adriana
#p nn ac dd ee ll ee gg aa ss 'ii ac ll oo kk 'aa uw #c ac mm 'oh rf ts ic nn 'an wn ee zz 'ii ss ts ic #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_aco/wav22/eps_rispido_aco0459.wav;adriana
#p ac ss en nh 'oh rr ac gg oo ss tt aa rr 'ii ac dd uc en vv 'ii uw dz ic 'uu mm ac nn 'oh vv ac kk 'aa rf tt ac ss 'en nh ac pp rd uc ss 'ee uw en dd ee rr 'ee ss uc #q;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_aco/wav22/eps_rispido_aco0046.wav;adriana
#p tt 'en nh uc pp aa rf ss 'ee ij rr uc ss kk on ac zz mm 'ee zz mm ac ss kk aa rr aa kk tt ee rr 'ii ss ts ic kk ac zz dz ic mm 'ee uw zz aa dz vv ee rf ss 'aa rr ic uw ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_acorf/wav22/eps_rispido_acorf0272.wav;adriana
#p nn 'ee ss ts ic 'an nn uc #c vv 'in ts ic ic dd 'oo ij zz mm 'ii uw kk in nh 'en tt uc zz ic ss in kk uw 'en tt ac ic dd 'oo ij zz ee zz en pp ll 'aa rr ic zz aa dd 'uu uw tt uc ss ff 'oo rr an wn kk aa pp tt uu rr 'aa dd uc ss #c un kk rd ee ss ii mm 'en tt uc dz ic ss 'eh ts ic vv 'ii rf gg uc ll ac 'oo ij tt uc pp oo rf ss 'en tt uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_acorf/wav22/eps_rispido_acorf0057.wav;adriana
#p nn ac kk on ss 'uu uw tt ac ii nn ii ss ii 'aa uw ff 'oo rr an wn pp rd ee ss kk rd 'ii tt uc zz ee zz 'an mm ic ss #c rx aa dz ii oo ll oo zh 'ii ac #c pp rd 'oh tt ee zz ic ss ss ii rr uu rf zh 'ii ac zz ic in kk ll uu zz 'ii vv ic ff 'oo rr an wn in ff oo rf mm 'aa dd ac zz ac ss ff aa ss ii ll ii dd 'aa dz ic zz dz ic pp aa gg aa mm 'en tt uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_gen/wav22/eps_rispido_gen0060.wav;adriana
#p mm aa rr 'ii ac ss ee ss 'ii ll ij ac nn oo gg 'ee ij rr ac mm 'aa rf kk ic ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_aco/wav22/eps_rispido_aco0021.wav;adriana
#p ic #c aa nn un ss ii 'oo uw ac aa ss ee ss oo rr 'ii ac dz ic in pp rd 'en ss ac dd ac kk oo mm ii ss 'an wn dz ic mm 'ii nn ac zz ic ee nn ee rf zh 'ii ac #c nn 'an wn 'aa mm uu dd 'an ss ac zz aa tt 'eh uc mm oo mm 'en tt uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_aco/wav22/eps_rispido_aco0469.wav;adriana
#p pp rd oo kk 'uu rr ac pp oo rf pp rd oo dd 'uu tt uc ss pp 'oh dz ic sh ee gg 'aa rr ac ss 'ee rf mm aa ij 'oh rf #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_aco/wav22/eps_rispido_aco0481.wav;adriana
#p tt 'en nh ac 'uu mm ac bb 'oo ac tt 'aa rf dz ic #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_gen/wav22/eps_rispido_gen0119.wav;adriana
#p tt oo mm 'aa zz dz 'ii ss ic ac aa ll 'ii ss ic kk ic kk 'eh rf ff aa ll 'aa rf kk on ss 'ee uw pp 'aa ij pp 'aa rr ac aa nn un ss ii 'aa rf ff oo rf mm aa uw mm 'en ts ic uc ss 'ee uw kk aa zz aa mm 'en tt uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_acorf/wav22/eps_rispido_acorf0167.wav;adriana
#p rx ee pp rd oo vv 'ee ij vv oo ss 'ee pp 'ee ll uc ss 'ee uw pp 'eh ss ic mm uc dd ee zz en pp 'en nh uc nn ac zz aa vv aa ll ii aa ss 'on jn ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_ris/wav22/eps_rispido_ris0123.wav;adriana
#p aa ss en bb ll 'eh ij ac ll ee zh ii zz ll aa ts 'ii vv ac ss 'oo nn ic #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_aco/wav22/eps_rispido_aco0381.wav;adriana
#p ss 'ee ij zz mm 'ee zz ic zz 'an ts ic zz dd uc dz ii vv uu uw gg 'aa dd uc pp 'ee ll ac rx ee pp oo rf tt 'aa zh en ll oo kk 'aa uw #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_aco/wav22/eps_rispido_aco0531.wav;adriana
#p aa tt 'eh pp aa rr 'eh ss ic kk ic 'ee ll ic ss pp 'en ss an wn #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_aco/wav22/eps_rispido_aco0192.wav;adriana
#p 'eh in pp oo rf tt 'an ts ic mm an tt 'ee rf ss 'uu ac ss pp aa rf ss 'eh ll ac zz en dz 'ii ac #c aa ss 'in vv oo ss 'ee ee vv 'ii tt ac zh 'uu rr uc zz ic ac kk 'eh bb rd ac dd uc aa kk 'oo rf dd uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_gen/wav22/eps_rispido_gen0084.wav;adriana
#p vv oo ss 'ee nn 'an wn pp 'oh dz ic pp ee rf dd 'ee rr 'eh ss ac oo pp oo rf tt uu nn ii dd 'aa dz ic zh 'aa kk ic ss 'oh 'eh oo ff ee rr ee ss 'ii dd ac 'uu mm ac vv 'ee ss pp oo rr 'an nn uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_acorf/wav22/eps_rispido_acorf0175.wav;adriana
#p vv 'in ts ic ic kk uw 'aa tt rd uc 'oh rr ac zz aa pp 'oh zz uc pp aa gg aa mm 'en tt uc dd uc aa kk 'oo rf dd uc #c ss 'uu ac kk 'aa rf tt ac dz ic kk ii tt aa ss 'an wn ee ss tt aa rr 'aa dz ii ss pp oo nn 'ii vv ee uw pp 'aa rr ac in pp rd ee ss 'an wn #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_gen/wav22/eps_rispido_gen0001.wav;adriana
#p ff 'aa ll ic kk ic 'oo uw tt rd uc kk ll ii 'en ts ic pp 'oh dz ic ll ii gg 'aa rf ll 'aa #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_aco/wav22/eps_rispido_aco0148.wav;adriana
#p 'ee ll ic dd ee mm 'oh rr ac #c mm 'aa zz 'aa nn 'oo ij ts ic ee ss tt 'aa vv ac bb 'on #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_aco/wav22/eps_rispido_aco0144.wav;adriana
#p dd aa kk 'ii ac pp oo uw kk 'in nh uc ss 'ee uw pp ee dz 'ii dd uc ss ee rr 'aa en tt rd 'eh gg ic nn ac ss 'uu ac rx ee zz ii dd 'en ss ij ac #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_acorf/wav22/eps_rispido_acorf0292.wav;adriana
#p ff 'oo ij vv oo ss 'ee kk ic bb aa tt 'ee uw nn uc mm 'ee uw kk 'aa rx uc #c ic ff 'oo ij pp oo rr oo lh 'aa rr uc ss ee ll uu ll 'aa rr en kk uw 'an tt uc dz ii rr ii zh 'ii ac #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_ris/wav22/eps_rispido_ris0148.wav;adriana
#p vv oo ss 'ee vv 'aa ij tt ee rf mm ii nn 'aa rf nn ac kk rd aa kk oo ll 'an dz ij ac ss ic kk on ts ii nn uu 'aa rf kk on 'ee ss ic vv 'ii ss ic uw ee ss tt 'uu pp ic dd uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_ris/wav22/eps_rispido_ris0061.wav;adriana
#p ss ee gg 'un dd uc ac in pp rd 'en ss ac nn 'oh rf ts ic aa mm ee rr ii kk 'an nn ac #c tt 'uu dd uc nn 'an wn pp 'aa ss ac dz ic 'uu mm ac pp rd oo pp aa gg 'an dd ac dz ic vv 'ii dz ic uw gg 'ee ij mm ic #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_acorf/wav22/eps_rispido_acorf0300.wav;adriana
#p zh aa mm 'aa ij ss tt en tt 'ee ij dd 'aa rf bb 'an nh uc nn 'ee ss ic gg 'aa tt uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_aco/wav22/eps_rispido_aco0008.wav;adriana
#p ac vv ii oo ll 'en ss ij ac aa ts in zh 'ii uw uc zz aa tt ll 'eh tt ac zz dd uc ff uu tt ee bb 'oh uw #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_aco/wav22/eps_rispido_aco0477.wav;adriana
#p dd ee tt 'aa lh ic zz dd ac zz rx 'eh gg rd ac zz dd uc zz zh 'oh gg uc zz nn ac tt 'ee vv 'ee #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_rispido_aco/wav22/eps_rispido_aco0458.wav;adriana
