phonetic_transcription;wav_path;speaker;style
#p pp ee rf ss oo nn 'aa zh en zz dd ac ee dz ii tt 'oo rr ac kk 'an pp uc ss #c nn ac pp aa rf ts ii ss ii pp aa ss 'an wn nn uc zz ll 'uu kk rd uc ss #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica1083.wav;carlos;neutro
#p ss 'uu ac 'oh rf tt ac nn ac sh 'aa kk ac rr ac oo ff ee rr ee ss 'ii ac mm 'un in tt uc sh uu sh 'uu ic rx ee pp 'oo lh uc #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica0860.wav;carlos;neutro
#p dd ee ss kk 'uu uw pp ac #e;/l/disk1/awstebas/data/TTS/speaker-carlos/emocao/wav22/emocao0001.wav;carlos;neutro
#p dz ic rx aa kk 'eh uw pp 'aa rr ac rx aa kk 'eh uw #c kk on rx aa kk 'eh uw #p;/l/disk1/awstebas/data/TTS/speaker-carlos/nomes_freq/wav22/nomes_freq0105.wav;carlos;neutro
#p zh 'un nh uc dz ic dd 'oo ij zz mm 'ii uw ic ss 'eh ts ic #c zh 'un nh uc dz ic dd 'oo ij zz mm 'ii uw ic dd ee zz ee ss 'eh ts ic #p;/l/disk1/awstebas/data/TTS/speaker-carlos/aec/wav22/aec0072.wav;carlos;neutro
#p ac aa rx ee kk aa dd aa ss 'an wn ac kk ic ss ic rx ee ff 'eh rr ic uc zh oo rf nn 'aa uw #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica0184.wav;carlos;neutro
#p ff 'ii zz un ll ee ij ll 'an wn nn ac 'oh rr ac dz ic vv en dd 'ee rf mm 'in nh ac zz zh 'oh ij ac zz dz ic 'oo uw rr uc #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica0252.wav;carlos;neutro
#p ss 'uu rf zh ic en aa ll ii mm 'en tt uc zz 'oo uw an bb ii 'en ts ic zz 'uu mm ic dd uc ss #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica0961.wav;carlos;neutro
#p kk on ss ts ii tt uu ij ss 'an wn dd uc ee zh 'ii tt uc 'eh bb aa rx 'aa dd ac #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica0750.wav;carlos;neutro
#p nn uc oo tt 'eh uw aa uw gg 'uu mm ac zz 'oh ss pp ee dz ic ss ff 'oo rr an wn dd ee ts 'ii dd ac ss #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica0703.wav;carlos;neutro
#p uc ii dd ee 'aa uw pp 'aa rr ac ff aa zz 'ee rf bb 'en 'aa uw 'eh gg uc #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica0487.wav;carlos;neutro
#p ff ee ll 'ii zz aa nn ii vv ee rf ss 'aa rr ic uw #p;/l/disk1/awstebas/data/TTS/speaker-carlos/neutro/wav22/neutro0047.wav;carlos;neutro
#p 'eh uc kk 'aa zz uc dd ac zh uu vv en tt 'uu dz ic #c kk on uc ff ee nn 'oo mm ee nn uc ii nn ee vv ii tt 'aa vv ee uw #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica0450.wav;carlos;neutro
#p ee ss tt 'oo uw ff aa ll 'an dd uc kk on #d ss ee ll 'ii nn ac #q;/l/disk1/awstebas/data/TTS/speaker-carlos/aec/wav22/aec0006.wav;carlos;neutro
