phonetic_transcription;wav_path;speaker;style
#p bb rd 'uu nn uc tt 'ee vv ic dz ic mm aa tt 'aa rr aa kk 'ee ll ic pp ee ss oo 'aa uw #p;/l/disk1/awstebas/data/TTS/speaker-rosana/rf_selecionadas/wav22/rf_selecionadas0616.wav;rosana;neutro
#p ll ee ts 'ii ss ij ac #p;/l/disk1/awstebas/data/TTS/speaker-rosana/nomes_isolados/wav22/nomes_isolados0195.wav;rosana;neutro
#p ll aa rr 'ii ss ac #p;/l/disk1/awstebas/data/TTS/speaker-rosana/nomes_isolados/wav22/nomes_isolados0187.wav;rosana;neutro
#p pp ee rf ss oo nn 'aa zh en zz dd ac ee dz ii tt 'oo rr ac kk 'an pp uc ss #c nn ac pp aa rf ts ii ss ii pp aa ss 'an wn nn uc zz ll 'uu kk rd uc ss #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica1083.wav;carlos;neutro
#p ss 'uu ac 'oh rf tt ac nn ac sh 'aa kk ac rr ac oo ff ee rr ee ss 'ii ac mm 'un in tt uc sh uu sh 'uu ic rx ee pp 'oo lh uc #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica0860.wav;carlos;neutro
#p dd ee ss kk 'uu uw pp ac #e;/l/disk1/awstebas/data/TTS/speaker-carlos/emocao/wav22/emocao0001.wav;carlos;neutro
#p 'eh rr ac 'aa uw gg uc rx uu rr 'aa uw 'oo uw ss uu bb uu rf bb 'an nn uc #c in ff oo rf mm 'oo uw un ss 'uu uw kk oo rr ee 'an nn uc #p;/l/disk1/awstebas/data/TTS/speaker-rosana/complemento/wav22/complemento0231.wav;rosana;neutro
#p uc ss 'ee uw kk on vv 'ee nn ic uw 'eh pp 'uu bb ll ic kk uc 'oo uw pp aa rf ts ii kk uu ll 'aa rf #p;/l/disk1/awstebas/data/TTS/speaker-rosana/bradesco_bia/wav22/bradesco_bia0300.wav;rosana;neutro
#p dz ic rx aa kk 'eh uw pp 'aa rr ac rx aa kk 'eh uw #c kk on rx aa kk 'eh uw #p;/l/disk1/awstebas/data/TTS/speaker-carlos/nomes_freq/wav22/nomes_freq0105.wav;carlos;neutro
#p zh 'un nh uc dz ic dd 'oo ij zz mm 'ii uw ic ss 'eh ts ic #c zh 'un nh uc dz ic dd 'oo ij zz mm 'ii uw ic dd ee zz ee ss 'eh ts ic #p;/l/disk1/awstebas/data/TTS/speaker-carlos/aec/wav22/aec0072.wav;carlos;neutro
#p ac aa rx ee kk aa dd aa ss 'an wn ac kk ic ss ic rx ee ff 'eh rr ic uc zh oo rf nn 'aa uw #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica0184.wav;carlos;neutro
#p ff 'ii zz un ll ee ij ll 'an wn nn ac 'oh rr ac dz ic vv en dd 'ee rf mm 'in nh ac zz zh 'oh ij ac zz dz ic 'oo uw rr uc #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica0252.wav;carlos;neutro
#p vv oo ss 'ee pp 'oh dz ic tt rd an ss ff ee rr 'ii rf ss 'ee uw ss pp 'on tt uc zz ll ii vv 'eh ll uc pp 'aa rr ac uc ss pp rd oo gg rd 'an mm ac ss pp aa rf ss 'ee ij rr uc ss #p;/l/disk1/awstebas/data/TTS/speaker-rosana/bradesco_baseInformacional/wav22/bradesco_baseInformacional0285.wav;rosana;neutro
#p kk ll ii 'en ts ic ff 'oh zz 'aa gg uw ac ss ss 'in kk uc #c kk 'aa zz uc zh 'aa tt 'en nh ac pp 'aa gg uc #c ac ff 'oh zz 'aa gg uw ac ss ss 'in kk uc aa gg rd aa dd 'eh ss ic #e;/l/disk1/awstebas/data/TTS/speaker-rosana/pg/wav22/pg0025.wav;rosana;neutro
