phonetic_transcription|wav_path|speaker|style
#p kk uu uw ts ii vv 'aa rr un bb uu zz 'ee ij rr uc zz nn uc ll 'eh ss ts ic 'eh ac 'uu nn ic kk ac kk 'oo ij zz ac vv 'aa ll ic dd ac #p|/l/disk1/awstebas/lhueda/github/data/rosana_carlos_synth_train/rosana/speaker-adriana_eps_animado_rf_wav22_eps_animado_rf0219.wav|rosana|animado
#p bb uu rr 'aa kk uc nn ac 'aa rf vv oo rr ic ss 'en pp rd ic ff 'oo ij aa ss 'in #p|/l/disk1/awstebas/lhueda/github/data/rosana_carlos_synth_train/rosana/speaker-adriana_eps_acolhedor_rf_wav22_eps_acolhedor_rf0131.wav|rosana|acolhedor
#p aa kk rd ee dz 'ii tt uc kk ic ss 'ee zh ac un pp rd oo bb ll 'ee mm ac mm oo mm en tt 'an nn ee uw #s pp oo rf ff aa vv 'oo rf #c tt 'en ts ic nn oh vv aa mm 'en ts ic mm 'aa ij ss tt 'aa rf dz ic #p|/l/disk1/awstebas/lhueda/github/data/rosana_carlos_synth_train/rosana/speaker-adriana_eps_animado_aco_wav22_eps_animado_aco0039.wav|rosana|animado
#p rx ee nn 'oh vv ic ss 'uu ac kk 'aa zz ac kk on 'eh ss ac zz oo ff 'eh rf tt ac zz ee ss pp ee ss ii 'aa ij ss kk ic pp rd ee pp aa rr 'an mm uc ss pp 'aa rr ac vv oo ss 'ee #p|/l/disk1/awstebas/lhueda/github/data/rosana_carlos_synth_train/rosana/speaker-adriana_eps_acolhedor_ani_wav22_eps_acolhedor_ani0058.wav|rosana|acolhedor
#p ff 'aa ij sh ac zz dd ac kk aa tt ee gg oo rr 'ii ac nn uc ff 'un dd uc dd uc bb 'an kk uc #p|/l/disk1/awstebas/lhueda/github/data/rosana_carlos_synth_train/rosana/speaker-adriana_eps_acolhedor_rf_wav22_eps_acolhedor_rf0253.wav|rosana|acolhedor
#p en tt en dz 'ii #p ic ss ic kk ii zz 'eh rf pp 'oh ss uc ff aa zz 'ee rr un aa zh en dd aa mm 'en tt uc pp 'aa rr ac dd aa kk 'ii ac ss 'in kk uc dz 'ii ac zz nn uc oo rr 'aa rr ic uw dd ee zz ee zh 'aa dd uc #p|/l/disk1/awstebas/lhueda/github/data/rosana_carlos_synth_train/rosana/speaker-adriana_eps_acolhedor_aco_wav22_eps_acolhedor_aco0105.wav|rosana|acolhedor
#p tt 'en nh uc ac in pp rd ee ss 'an wn dz ic kk ic nn 'un kk ac sh ee gg aa rr 'ee mm uc ss kk 'on tt rd ac ac pp 'on ts ic pp rd 'ee tt ac #p|/l/disk1/awstebas/lhueda/github/data/rosana_carlos_synth_train/rosana/speaker-adriana_eps_rispido_aco_wav22_eps_rispido_aco0068.wav|rosana|rispido
#p ff 'ii kk uc mm 'un in tt uc ff ee ll 'ii zz dz ic pp oo dd 'ee rr aa zh uu dd 'aa rf vv oo ss 'ee #s pp 'oh dz ic mm ic ll ii gg 'aa rf ss 'en pp rd ic kk ic pp rd ee ss ii zz 'aa rf #p|/l/disk1/awstebas/lhueda/github/data/rosana_carlos_synth_train/rosana/speaker-adriana_eps_acolhedor_aco_wav22_eps_acolhedor_aco0113.wav|rosana|acolhedor
#p aa kk 'ee ll ic ss kk ic dz 'ii zz en kk ic ss aa uw vv 'aa rr an wn ac aa rf zh 'eh ll ij ac #p|/l/disk1/awstebas/lhueda/github/data/rosana_carlos_synth_train/rosana/speaker-adriana_eps_animado_rf_wav22_eps_animado_rf0247.wav|rosana|animado
#p 'eh kk ic 'ee uw tt 'en nh uc 'uu mm ac oo ff 'eh rf tt ac mm 'un in tt uc ee ss pp ee ss ii 'aa uw #p|/l/disk1/awstebas/lhueda/github/data/rosana_carlos_synth_train/rosana/speaker-adriana_eps_acolhedor_rf_wav22_eps_acolhedor_rf0642.wav|rosana|acolhedor
#p ac aa ll 'ii kk uc oo tt ac dd uc in pp 'oo ss tt uc pp 'oh dz ic vv aa rr ii 'aa rf dz ic nn oo vv 'en tt ac ic ss 'ee ij ss pp oo rf ss 'en tt uc ac zz 'eh rr uc #c dd ee pp en dd 'en dd uc dd uc mm oo mm 'en tt uc en kk ic oo kk oo rx 'ee uw uc rx ee zz gg 'aa ts ic aa pp 'oh zz ac aa pp ll ii kk aa ss 'an wn #p|/l/disk1/awstebas/lhueda/github/data/rosana_carlos_synth_train/rosana/speaker-adriana_eps_animado_aco_wav22_eps_animado_aco0089.wav|rosana|animado
